B0:, R18, R87, R81, R2, R98, R23, R99, R13, R61, R17, R41, R64, R51, R3, R79, R47, R95, R6, R83, R88, R46, R82, R20, R19, R11, R89, R80, R77, R28, R84, R96, R93, R78, R76, R48, R24, R12, R65, R40, R27, R52, R42, R43, R4, R60, R38, R94, R68, R35, R85, R15, R7, R74, R67, R1, R86, R66, R14, R25, R33, R73, R92, R49, R56, R44, R0, R31, R90, R57, R36, R75, R45, R54, R70, R26, R10, R91, R30, R97, R32, R9, R39, R71, R50, R21, R63, R69, R55, R72, R8, R59, R62, R37, R34, R58, R5, R16, R29, R22, R53, 
R32:, B38, B99, B69, B27, B24, B33, B86, B81, B84, B8, B17, B26, B32, B2, B63, B82, B5, B39, B89, B48, B49, B29, B47, B98, B13, B88, B94, B64, B77, B90, B20, B3, B59, B36, B71, B44, B75, B55, B6, B54, B15, B66, B7, B30, B70, B74, B14, B0, B83, B60, B12, B22, B40, B87, B95, B72, B25, B46, B91, B1, B42, B18, B80, B57, B37, B31, B51, B53, B61, B28, B52, B68, B19, B76, B96, B11, B65, B35, B92, B79, B9, B34, B45, B58, B4, B67, B62, B97, B23, B10, B43, B50, B16, B85, B73, B93, B21, B41, B56, B78, 
R33:, B96, B69, B15, B14, B75, B44, B74, B48, B68, B1, B8, B3, B58, B87, B46, B82, B67, B34, B47, B85, B64, B17, B16, B21, B90, B40, B36, B41, B66, B73, B12, B57, B99, B54, B53, B55, B35, B97, B6, B62, B24, B72, B52, B25, B30, B29, B70, B13, B43, B31, B65, B27, B89, B45, B9, B63, B95, B32, B93, B7, B10, B91, B98, B77, B4, B80, B33, B49, B94, B50, B11, B26, B23, B39, B61, B5, B28, B20, B92, B2, B88, B51, B42, B79, B60, B56, B71, B22, B78, B0, B37, B76, B18, B83, B86, B84, B38, B59, B81, B19, 
R34:, B40, B31, B56, B32, B55, B59, B95, B43, B96, B15, B82, B51, B60, B21, B71, B45, B62, B46, B88, B75, B84, B86, B80, B5, B8, B35, B94, B81, B66, B42, B28, B73, B33, B17, B70, B58, B9, B27, B92, B12, B24, B85, B18, B97, B36, B83, B37, B79, B29, B3, B19, B2, B7, B30, B39, B93, B14, B67, B64, B69, B0, B6, B20, B22, B57, B63, B23, B11, B4, B91, B76, B25, B53, B77, B47, B38, B44, B50, B99, B34, B16, B26, B49, B68, B72, B54, B52, B78, B87, B1, B65, B74, B10, B98, B48, B89, B13, B41, B61, B90, 
R35:, B69, B83, B68, B32, B80, B41, B53, B70, B61, B42, B27, B10, B89, B95, B15, B84, B96, B21, B76, B24, B1, B31, B51, B40, B64, B5, B49, B29, B72, B25, B22, B43, B62, B13, B26, B74, B44, B4, B14, B63, B34, B54, B50, B30, B39, B87, B46, B91, B2, B88, B58, B98, B18, B82, B55, B66, B28, B85, B17, B99, B56, B38, B19, B3, B60, B16, B75, B77, B47, B73, B78, B92, B33, B0, B7, B81, B59, B93, B11, B9, B37, B6, B71, B52, B20, B94, B23, B97, B36, B79, B45, B35, B8, B90, B86, B57, B12, B65, B67, B48, 
R36:, B36, B17, B4, B21, B85, B82, B71, B1, B11, B89, B55, B95, B87, B67, B35, B42, B46, B72, B93, B13, B90, B50, B51, B48, B92, B41, B49, B61, B54, B31, B12, B86, B8, B62, B20, B33, B65, B9, B29, B43, B45, B58, B99, B66, B2, B25, B75, B10, B24, B81, B70, B98, B94, B74, B38, B30, B88, B79, B44, B3, B56, B6, B53, B63, B7, B57, B5, B64, B91, B84, B34, B47, B60, B97, B59, B0, B40, B19, B39, B80, B26, B73, B18, B23, B83, B76, B15, B27, B96, B16, B28, B22, B52, B77, B69, B78, B32, B14, B37, B68, 
R37:, B76, B27, B57, B49, B99, B9, B2, B14, B70, B51, B17, B38, B1, B30, B5, B89, B36, B64, B21, B24, B40, B23, B92, B83, B8, B68, B0, B46, B56, B79, B86, B28, B45, B3, B22, B7, B87, B32, B26, B65, B48, B4, B67, B18, B42, B44, B90, B50, B35, B53, B39, B91, B93, B77, B59, B80, B66, B94, B60, B98, B11, B33, B47, B72, B62, B97, B20, B81, B73, B58, B75, B84, B31, B96, B55, B34, B88, B85, B43, B63, B52, B37, B13, B61, B12, B29, B16, B74, B41, B82, B71, B10, B15, B19, B25, B95, B6, B54, B69, B78, 
R38:, B35, B11, B18, B63, B37, B76, B0, B83, B74, B50, B88, B61, B40, B16, B66, B49, B92, B36, B93, B43, B13, B77, B68, B75, B4, B1, B28, B86, B70, B32, B98, B59, B14, B57, B23, B48, B5, B90, B84, B99, B24, B12, B52, B42, B97, B10, B91, B25, B9, B69, B20, B81, B56, B17, B94, B21, B2, B71, B30, B7, B26, B51, B89, B73, B82, B53, B87, B79, B38, B34, B67, B72, B78, B44, B55, B33, B6, B39, B3, B60, B47, B41, B54, B46, B65, B95, B58, B80, B27, B15, B85, B96, B22, B8, B62, B19, B29, B45, B31, B64, 
R39:, B65, B16, B93, B46, B14, B62, B40, B53, B77, B99, B51, B67, B42, B52, B49, B61, B3, B10, B85, B1, B68, B55, B64, B88, B4, B74, B80, B26, B83, B37, B90, B87, B15, B28, B54, B27, B30, B33, B81, B20, B89, B18, B96, B32, B38, B91, B71, B73, B79, B84, B21, B97, B5, B98, B70, B82, B12, B78, B39, B8, B0, B57, B50, B31, B76, B25, B95, B24, B86, B92, B35, B45, B75, B58, B13, B36, B41, B29, B43, B48, B7, B34, B2, B6, B9, B69, B72, B94, B56, B44, B63, B23, B47, B60, B22, B17, B66, B11, B59, B19, 
R40:, B40, B18, B77, B21, B42, B0, B34, B70, B45, B72, B36, B76, B6, B14, B81, B61, B98, B78, B90, B63, B51, B87, B16, B74, B92, B43, B99, B28, B96, B50, B5, B97, B57, B79, B9, B88, B62, B27, B38, B17, B7, B69, B2, B15, B26, B82, B48, B64, B95, B23, B11, B31, B83, B46, B54, B85, B56, B25, B39, B20, B41, B55, B89, B30, B12, B84, B71, B49, B8, B19, B53, B24, B91, B80, B58, B86, B94, B59, B60, B22, B32, B44, B35, B93, B13, B75, B47, B67, B10, B3, B66, B1, B29, B65, B37, B73, B4, B33, B68, B52, 
R41:, B13, B51, B2, B71, B54, B11, B19, B40, B90, B85, B37, B75, B94, B22, B18, B26, B77, B79, B12, B44, B59, B91, B43, B80, B52, B78, B96, B32, B30, B76, B17, B36, B1, B93, B10, B97, B57, B41, B6, B27, B73, B99, B4, B50, B55, B16, B89, B15, B72, B66, B23, B42, B20, B60, B81, B9, B7, B56, B3, B83, B98, B68, B47, B67, B39, B74, B38, B58, B8, B88, B0, B61, B33, B34, B31, B35, B21, B48, B46, B28, B95, B65, B25, B29, B70, B14, B63, B45, B62, B86, B64, B5, B53, B49, B24, B92, B82, B69, B87, B84, 
R42:, B18, B31, B46, B75, B38, B97, B68, B91, B89, B53, B96, B98, B71, B58, B69, B37, B34, B43, B48, B13, B49, B55, B26, B73, B76, B23, B60, B72, B85, B32, B14, B64, B54, B25, B87, B80, B8, B56, B20, B36, B70, B29, B40, B42, B12, B39, B35, B67, B84, B51, B41, B79, B90, B21, B78, B33, B88, B45, B62, B17, B7, B10, B65, B27, B92, B61, B24, B74, B99, B28, B6, B81, B95, B1, B63, B86, B94, B11, B82, B3, B52, B77, B50, B16, B0, B9, B83, B59, B44, B4, B57, B19, B15, B2, B22, B30, B47, B93, B66, B5, 
R43:, B94, B46, B17, B1, B91, B12, B29, B0, B92, B39, B5, B36, B93, B80, B13, B51, B61, B65, B14, B89, B9, B45, B28, B58, B31, B16, B55, B76, B6, B96, B75, B50, B22, B37, B63, B40, B26, B52, B48, B90, B30, B32, B77, B98, B64, B54, B85, B7, B21, B23, B84, B86, B74, B88, B4, B62, B60, B78, B34, B42, B15, B87, B73, B83, B57, B68, B43, B69, B38, B59, B99, B67, B71, B47, B49, B95, B56, B81, B19, B11, B10, B70, B25, B20, B79, B35, B66, B41, B53, B2, B33, B18, B8, B27, B24, B97, B72, B44, B3, B82, 
R44:, B99, B94, B67, B68, B13, B73, B18, B71, B70, B92, B31, B61, B11, B85, B16, B80, B65, B38, B89, B88, B93, B56, B79, B24, B84, B4, B19, B15, B44, B23, B39, B40, B29, B36, B27, B12, B72, B82, B41, B25, B96, B50, B6, B53, B7, B74, B48, B45, B22, B98, B58, B35, B60, B8, B10, B51, B87, B97, B63, B81, B5, B33, B62, B21, B20, B78, B52, B66, B26, B90, B46, B9, B30, B43, B0, B54, B34, B14, B76, B91, B28, B1, B69, B64, B95, B17, B59, B86, B55, B32, B77, B2, B37, B42, B83, B75, B49, B57, B47, B3, 
R45:, B59, B81, B3, B38, B24, B92, B39, B64, B61, B28, B27, B55, B44, B89, B30, B58, B37, B40, B0, B52, B46, B60, B76, B32, B56, B41, B57, B79, B90, B10, B5, B6, B20, B4, B66, B14, B17, B71, B82, B97, B93, B35, B67, B53, B98, B33, B34, B54, B50, B12, B26, B31, B77, B45, B29, B42, B84, B86, B91, B74, B85, B95, B96, B75, B69, B49, B80, B1, B78, B18, B94, B47, B15, B48, B11, B83, B16, B73, B13, B51, B68, B2, B9, B62, B72, B22, B65, B25, B8, B99, B88, B7, B43, B21, B70, B36, B87, B63, B23, B19, 
R46:, B71, B83, B86, B25, B21, B69, B28, B51, B50, B60, B41, B20, B26, B42, B65, B54, B13, B33, B66, B45, B61, B88, B77, B14, B94, B92, B44, B63, B37, B70, B47, B98, B90, B30, B27, B43, B67, B62, B96, B15, B11, B34, B36, B79, B56, B68, B6, B64, B22, B31, B84, B19, B75, B17, B1, B8, B24, B82, B53, B35, B78, B3, B58, B89, B91, B39, B2, B48, B38, B9, B5, B23, B80, B4, B7, B49, B87, B72, B0, B57, B74, B18, B46, B55, B85, B40, B10, B97, B95, B12, B99, B29, B52, B81, B59, B16, B32, B93, B76, B73, 
R47:, B17, B10, B1, B53, B76, B48, B58, B95, B50, B18, B14, B38, B54, B26, B19, B97, B20, B99, B51, B78, B82, B44, B62, B12, B43, B49, B46, B0, B11, B85, B35, B81, B71, B55, B37, B22, B83, B39, B33, B3, B40, B29, B92, B90, B15, B74, B91, B30, B36, B60, B34, B72, B25, B63, B88, B47, B13, B28, B93, B41, B66, B64, B31, B57, B59, B77, B7, B6, B98, B65, B75, B67, B42, B21, B89, B9, B86, B73, B27, B5, B56, B96, B80, B61, B23, B4, B32, B8, B52, B87, B69, B16, B24, B94, B70, B79, B68, B2, B84, B45, 
R48:, B76, B13, B34, B93, B72, B97, B73, B37, B65, B41, B27, B38, B52, B26, B44, B98, B82, B14, B18, B58, B31, B62, B22, B88, B15, B71, B16, B48, B80, B69, B46, B74, B36, B55, B87, B67, B8, B56, B42, B45, B95, B68, B60, B17, B4, B99, B43, B83, B50, B86, B28, B32, B59, B47, B90, B19, B91, B7, B23, B94, B24, B12, B40, B49, B78, B1, B20, B30, B3, B64, B10, B81, B79, B29, B53, B6, B89, B61, B21, B9, B85, B84, B35, B11, B2, B92, B66, B70, B63, B96, B25, B75, B0, B77, B54, B39, B57, B5, B33, B51, 
R49:, B47, B3, B13, B69, B71, B1, B46, B60, B19, B58, B27, B59, B94, B89, B87, B36, B84, B10, B54, B32, B6, B45, B44, B63, B74, B70, B12, B65, B15, B92, B16, B17, B29, B20, B0, B35, B93, B25, B55, B14, B90, B5, B64, B7, B82, B78, B18, B51, B99, B68, B62, B30, B33, B97, B56, B66, B43, B11, B86, B85, B42, B38, B52, B34, B88, B53, B22, B31, B23, B49, B48, B37, B21, B41, B72, B91, B61, B81, B24, B57, B2, B75, B40, B26, B98, B80, B8, B95, B73, B96, B9, B39, B77, B67, B28, B79, B50, B4, B83, B76, 
R50:, B58, B93, B96, B84, B24, B22, B0, B2, B79, B81, B72, B54, B17, B5, B15, B86, B28, B57, B43, B42, B94, B36, B95, B8, B85, B52, B35, B19, B33, B73, B34, B66, B76, B11, B61, B49, B68, B89, B30, B55, B70, B27, B91, B82, B16, B10, B98, B25, B20, B9, B32, B69, B38, B44, B3, B14, B87, B78, B67, B47, B80, B50, B51, B18, B31, B71, B53, B99, B48, B6, B23, B41, B62, B60, B13, B37, B63, B92, B45, B90, B74, B46, B88, B64, B83, B97, B59, B56, B77, B7, B65, B75, B1, B39, B21, B4, B12, B40, B29, B26, 
R51:, B46, B55, B44, B88, B91, B31, B36, B89, B34, B80, B74, B7, B11, B43, B58, B95, B23, B27, B94, B82, B39, B90, B77, B75, B71, B41, B0, B60, B35, B59, B3, B20, B69, B64, B98, B87, B4, B92, B97, B22, B52, B12, B15, B30, B73, B37, B86, B19, B13, B33, B28, B66, B10, B61, B16, B42, B57, B78, B9, B63, B50, B49, B48, B67, B54, B21, B45, B65, B40, B18, B79, B25, B5, B85, B83, B38, B26, B6, B32, B14, B70, B17, B93, B81, B96, B29, B62, B84, B2, B47, B24, B53, B72, B99, B51, B1, B56, B68, B76, B8, 
R52:, B47, B11, B70, B63, B81, B37, B39, B66, B77, B53, B75, B79, B23, B85, B69, B22, B98, B10, B24, B67, B13, B2, B92, B35, B41, B31, B49, B30, B5, B45, B25, B84, B38, B19, B65, B99, B72, B17, B21, B94, B82, B14, B29, B73, B7, B57, B18, B44, B90, B43, B32, B56, B50, B40, B83, B55, B34, B1, B16, B52, B12, B58, B74, B4, B0, B46, B33, B28, B48, B97, B59, B54, B26, B93, B36, B6, B96, B8, B91, B3, B20, B27, B76, B9, B61, B78, B71, B62, B80, B87, B15, B95, B42, B68, B51, B86, B89, B88, B60, B64, 
R53:, B54, B96, B29, B45, B26, B34, B13, B61, B95, B21, B92, B55, B33, B87, B18, B7, B90, B73, B86, B48, B91, B40, B9, B78, B81, B82, B35, B94, B3, B84, B64, B67, B65, B85, B20, B44, B2, B52, B57, B93, B70, B68, B41, B6, B14, B89, B47, B51, B12, B22, B59, B76, B31, B38, B71, B75, B97, B98, B28, B77, B39, B50, B79, B30, B49, B74, B25, B72, B62, B58, B63, B42, B43, B8, B19, B60, B10, B16, B24, B32, B17, B0, B53, B11, B36, B23, B66, B83, B1, B37, B46, B5, B56, B88, B99, B69, B4, B15, B27, B80, 
R54:, B84, B94, B43, B62, B97, B67, B38, B45, B35, B3, B7, B13, B55, B56, B71, B39, B85, B14, B99, B59, B24, B83, B22, B21, B18, B63, B9, B19, B96, B46, B90, B88, B2, B66, B40, B93, B37, B32, B16, B72, B29, B53, B69, B86, B73, B15, B25, B48, B12, B51, B31, B23, B75, B8, B68, B79, B28, B58, B98, B20, B30, B4, B82, B44, B60, B50, B11, B95, B26, B47, B5, B33, B91, B34, B42, B54, B77, B78, B1, B87, B76, B64, B81, B0, B41, B92, B61, B57, B89, B17, B65, B36, B80, B74, B27, B10, B52, B70, B6, B49, 
R55:, B98, B62, B77, B34, B82, B86, B39, B36, B69, B32, B95, B50, B89, B53, B64, B99, B44, B81, B20, B71, B10, B5, B42, B56, B96, B12, B2, B73, B22, B11, B31, B25, B55, B67, B74, B80, B68, B45, B76, B91, B26, B60, B16, B46, B17, B48, B40, B70, B23, B4, B49, B75, B33, B84, B28, B7, B85, B8, B66, B6, B29, B9, B0, B59, B72, B19, B92, B30, B1, B37, B79, B61, B38, B87, B90, B51, B54, B27, B47, B57, B88, B78, B83, B58, B13, B52, B94, B65, B15, B3, B97, B21, B35, B93, B63, B24, B18, B14, B43, B41, 
R56:, B62, B0, B8, B93, B51, B25, B98, B20, B53, B95, B2, B13, B55, B35, B52, B77, B74, B26, B30, B6, B81, B73, B17, B88, B22, B46, B99, B49, B96, B18, B43, B37, B28, B4, B41, B69, B54, B44, B67, B7, B94, B87, B71, B58, B66, B33, B10, B9, B70, B32, B21, B11, B19, B47, B84, B63, B39, B31, B34, B72, B79, B80, B59, B86, B91, B29, B42, B5, B1, B57, B61, B14, B48, B23, B89, B90, B92, B78, B60, B27, B56, B40, B85, B16, B3, B82, B68, B97, B12, B45, B36, B50, B64, B76, B75, B83, B24, B38, B65, B15, 
R57:, B80, B20, B4, B21, B56, B23, B64, B30, B12, B90, B3, B83, B98, B11, B16, B53, B77, B25, B71, B35, B47, B84, B37, B86, B75, B65, B28, B41, B72, B33, B27, B6, B10, B70, B54, B89, B7, B66, B32, B38, B88, B26, B1, B57, B42, B31, B2, B52, B46, B45, B62, B39, B43, B13, B95, B5, B81, B48, B15, B17, B85, B94, B29, B91, B78, B18, B99, B40, B36, B34, B19, B82, B73, B79, B44, B55, B50, B93, B22, B63, B58, B59, B96, B14, B69, B97, B87, B61, B76, B51, B49, B8, B92, B67, B60, B9, B0, B74, B24, B68, 
R58:, B31, B0, B74, B67, B26, B16, B48, B55, B65, B13, B63, B30, B97, B6, B51, B36, B76, B87, B24, B29, B28, B60, B44, B70, B53, B95, B84, B85, B58, B96, B92, B1, B88, B22, B89, B72, B12, B98, B3, B8, B10, B66, B38, B23, B93, B18, B39, B62, B71, B77, B82, B64, B4, B99, B32, B15, B49, B40, B11, B90, B2, B80, B57, B59, B17, B21, B75, B34, B78, B19, B94, B27, B45, B43, B20, B41, B69, B86, B91, B83, B46, B35, B5, B25, B79, B56, B81, B50, B37, B42, B47, B14, B61, B68, B54, B7, B52, B9, B73, B33, 
R59:, B72, B47, B75, B14, B88, B58, B86, B37, B35, B13, B63, B7, B2, B92, B79, B28, B6, B19, B1, B16, B9, B0, B40, B62, B41, B18, B20, B8, B5, B57, B99, B29, B76, B21, B52, B74, B54, B89, B34, B66, B36, B24, B70, B38, B59, B25, B96, B80, B94, B77, B48, B60, B10, B91, B23, B81, B45, B55, B78, B56, B51, B4, B98, B27, B73, B33, B39, B49, B97, B87, B44, B22, B95, B50, B17, B46, B84, B71, B11, B15, B82, B3, B31, B64, B32, B53, B85, B67, B30, B42, B12, B90, B83, B43, B26, B68, B65, B93, B61, B69, 
R60:, B57, B66, B80, B85, B36, B73, B30, B18, B4, B50, B27, B42, B21, B6, B54, B98, B87, B58, B32, B63, B65, B76, B15, B79, B43, B64, B14, B26, B16, B97, B22, B29, B10, B25, B46, B74, B93, B96, B20, B13, B99, B84, B92, B88, B17, B61, B78, B45, B95, B86, B71, B7, B51, B91, B47, B40, B9, B81, B53, B19, B44, B8, B49, B83, B55, B24, B41, B11, B37, B60, B12, B62, B34, B3, B72, B67, B48, B0, B90, B59, B75, B2, B89, B23, B38, B33, B1, B69, B31, B56, B35, B70, B68, B77, B28, B94, B5, B52, B39, B82, 
R61:, B31, B16, B56, B47, B49, B78, B94, B58, B67, B57, B88, B52, B51, B18, B93, B95, B13, B41, B79, B74, B76, B36, B73, B9, B46, B4, B14, B21, B59, B19, B29, B61, B81, B68, B44, B1, B15, B43, B23, B10, B85, B66, B0, B75, B42, B26, B11, B64, B97, B63, B55, B80, B20, B38, B27, B92, B32, B53, B3, B65, B40, B96, B77, B39, B33, B91, B60, B89, B87, B86, B83, B34, B71, B99, B90, B50, B17, B12, B6, B37, B22, B24, B2, B70, B84, B30, B82, B5, B8, B69, B98, B25, B62, B28, B35, B48, B7, B54, B45, B72, 
R62:, B32, B23, B38, B19, B50, B5, B18, B36, B25, B17, B35, B48, B96, B78, B27, B21, B37, B42, B65, B95, B9, B80, B33, B47, B92, B55, B97, B91, B29, B69, B63, B79, B85, B16, B67, B4, B62, B76, B59, B93, B52, B75, B60, B11, B74, B71, B72, B6, B45, B73, B53, B26, B86, B83, B1, B15, B20, B41, B90, B68, B31, B84, B89, B39, B13, B40, B43, B57, B82, B64, B2, B8, B34, B3, B56, B14, B81, B99, B24, B30, B22, B66, B61, B54, B87, B51, B77, B12, B44, B88, B0, B49, B7, B10, B46, B94, B28, B98, B58, B70, 
R63:, B57, B68, B98, B0, B99, B36, B39, B12, B87, B72, B28, B53, B7, B17, B51, B44, B56, B18, B50, B78, B43, B1, B9, B21, B52, B86, B67, B71, B41, B33, B47, B88, B11, B14, B4, B26, B15, B81, B46, B35, B22, B64, B40, B75, B37, B31, B66, B29, B54, B10, B8, B30, B65, B85, B92, B70, B34, B97, B48, B45, B23, B69, B61, B32, B60, B59, B5, B73, B3, B80, B49, B95, B2, B16, B91, B84, B24, B93, B62, B63, B38, B76, B89, B58, B82, B77, B42, B27, B6, B83, B25, B20, B79, B13, B94, B19, B74, B96, B55, B90, 
R64:, B68, B98, B34, B13, B95, B30, B79, B52, B14, B7, B86, B28, B92, B78, B64, B44, B40, B9, B31, B48, B49, B21, B42, B54, B15, B16, B57, B70, B69, B27, B77, B66, B75, B32, B6, B20, B56, B11, B72, B62, B24, B91, B82, B61, B65, B89, B71, B1, B17, B5, B85, B39, B59, B90, B74, B45, B43, B8, B12, B84, B33, B53, B88, B97, B0, B47, B4, B80, B3, B50, B73, B26, B87, B36, B46, B94, B81, B41, B10, B18, B22, B51, B38, B60, B35, B25, B58, B83, B23, B99, B67, B55, B63, B19, B93, B76, B29, B37, B2, B96, 
R65:, B99, B44, B65, B61, B79, B48, B9, B15, B42, B57, B67, B13, B47, B33, B81, B55, B35, B83, B31, B20, B12, B77, B19, B86, B36, B18, B60, B27, B59, B88, B23, B1, B34, B56, B5, B96, B95, B29, B50, B72, B46, B0, B49, B8, B84, B71, B76, B37, B58, B4, B62, B21, B66, B85, B90, B28, B68, B63, B38, B7, B16, B41, B73, B17, B98, B43, B92, B30, B32, B54, B24, B91, B70, B25, B52, B14, B87, B22, B6, B94, B69, B2, B78, B97, B40, B45, B93, B64, B3, B82, B74, B26, B75, B11, B80, B10, B89, B53, B39, B51, 
R66:, B12, B38, B96, B63, B29, B84, B16, B64, B94, B50, B52, B88, B15, B80, B43, B55, B37, B34, B81, B47, B78, B79, B97, B33, B54, B61, B23, B42, B65, B44, B14, B36, B59, B75, B46, B8, B9, B26, B77, B31, B1, B22, B3, B39, B35, B69, B93, B62, B99, B87, B66, B5, B98, B7, B20, B53, B91, B11, B51, B2, B21, B25, B95, B67, B27, B82, B90, B17, B28, B57, B40, B76, B68, B10, B48, B89, B4, B71, B86, B83, B56, B19, B72, B6, B18, B41, B58, B0, B13, B73, B49, B24, B30, B85, B45, B74, B92, B60, B32, B70, 
R67:, B62, B34, B23, B24, B37, B46, B55, B53, B85, B95, B5, B50, B25, B97, B87, B31, B42, B82, B26, B40, B20, B36, B11, B33, B73, B22, B61, B15, B17, B79, B57, B35, B91, B56, B92, B90, B18, B2, B98, B47, B60, B72, B75, B8, B74, B78, B7, B89, B84, B3, B76, B94, B32, B0, B10, B88, B41, B59, B65, B83, B86, B9, B13, B43, B48, B12, B51, B45, B99, B63, B52, B21, B28, B67, B44, B14, B81, B39, B77, B58, B69, B66, B16, B38, B64, B49, B96, B6, B27, B70, B80, B1, B4, B19, B30, B71, B68, B93, B54, B29, 
R68:, B43, B64, B16, B35, B59, B55, B62, B13, B48, B21, B86, B20, B53, B51, B99, B42, B23, B37, B40, B8, B54, B1, B19, B34, B7, B33, B44, B84, B58, B90, B47, B2, B61, B57, B88, B26, B85, B30, B5, B73, B77, B38, B14, B80, B56, B82, B87, B32, B94, B29, B10, B63, B96, B72, B11, B50, B89, B67, B68, B39, B95, B93, B66, B69, B70, B25, B45, B46, B24, B71, B79, B18, B36, B65, B28, B17, B6, B49, B22, B78, B83, B97, B3, B98, B31, B0, B91, B27, B60, B75, B81, B74, B15, B41, B76, B92, B12, B4, B52, B9, 
R69:, B65, B71, B47, B99, B18, B26, B38, B22, B5, B98, B51, B81, B83, B90, B32, B79, B23, B3, B31, B45, B82, B66, B1, B78, B89, B17, B29, B6, B21, B55, B57, B9, B30, B93, B85, B34, B4, B40, B0, B77, B96, B16, B63, B80, B37, B92, B43, B27, B58, B33, B8, B42, B10, B68, B59, B20, B73, B94, B2, B91, B12, B69, B54, B75, B24, B53, B74, B88, B84, B15, B19, B25, B35, B72, B49, B36, B46, B86, B39, B14, B61, B64, B44, B13, B52, B28, B50, B41, B48, B60, B97, B95, B62, B11, B87, B56, B7, B70, B67, B76, 
R70:, B1, B16, B50, B99, B4, B8, B20, B92, B10, B31, B12, B85, B87, B7, B14, B70, B48, B64, B86, B96, B26, B23, B90, B77, B0, B54, B45, B3, B39, B30, B25, B49, B42, B34, B81, B47, B41, B62, B35, B44, B28, B6, B65, B89, B27, B75, B19, B82, B73, B5, B33, B97, B2, B93, B57, B84, B56, B21, B29, B11, B71, B15, B18, B68, B38, B78, B61, B69, B72, B98, B83, B91, B67, B59, B94, B95, B55, B60, B17, B24, B88, B80, B66, B74, B9, B58, B32, B46, B53, B36, B76, B52, B51, B37, B63, B22, B43, B40, B79, B13, 
R71:, B10, B57, B90, B68, B29, B54, B3, B51, B19, B40, B9, B47, B75, B4, B82, B63, B26, B37, B53, B65, B59, B96, B73, B89, B23, B11, B94, B74, B91, B49, B58, B43, B16, B27, B41, B14, B21, B92, B15, B42, B24, B44, B97, B69, B52, B98, B38, B95, B6, B31, B67, B34, B46, B71, B72, B79, B32, B80, B77, B88, B64, B78, B76, B56, B85, B36, B5, B25, B18, B13, B0, B7, B93, B20, B61, B1, B87, B8, B45, B84, B48, B35, B99, B30, B62, B50, B17, B55, B83, B39, B22, B81, B33, B60, B28, B66, B12, B70, B2, B86, 
R72:, B25, B58, B75, B61, B37, B57, B95, B49, B83, B78, B7, B2, B38, B98, B96, B33, B27, B31, B35, B86, B0, B13, B97, B65, B44, B88, B90, B36, B52, B80, B9, B85, B79, B60, B15, B81, B19, B10, B24, B14, B6, B71, B69, B40, B8, B93, B55, B54, B11, B82, B23, B32, B34, B16, B99, B66, B87, B84, B39, B30, B46, B68, B72, B62, B89, B64, B76, B56, B51, B70, B45, B29, B47, B20, B12, B26, B91, B50, B22, B41, B48, B77, B63, B53, B3, B43, B67, B42, B59, B21, B5, B73, B92, B4, B1, B94, B18, B28, B17, B74, 
R73:, B90, B76, B36, B78, B0, B13, B38, B82, B97, B86, B37, B63, B92, B70, B85, B74, B53, B83, B43, B14, B59, B29, B28, B57, B6, B69, B77, B23, B19, B40, B18, B17, B45, B2, B79, B64, B48, B24, B75, B56, B7, B42, B67, B26, B81, B68, B54, B21, B22, B55, B44, B27, B1, B41, B15, B31, B89, B33, B88, B96, B4, B62, B99, B71, B32, B73, B98, B30, B58, B94, B65, B35, B12, B80, B84, B11, B87, B16, B93, B9, B60, B66, B49, B46, B61, B52, B20, B51, B25, B3, B50, B91, B34, B8, B5, B95, B72, B39, B10, B47, 
R74:, B25, B15, B35, B50, B92, B52, B13, B29, B37, B32, B6, B91, B68, B47, B23, B5, B77, B71, B46, B8, B44, B99, B3, B60, B95, B41, B11, B88, B33, B42, B27, B2, B59, B12, B79, B31, B66, B74, B17, B63, B39, B75, B94, B85, B56, B18, B67, B61, B70, B62, B48, B87, B81, B73, B55, B93, B22, B57, B72, B0, B16, B45, B21, B1, B24, B26, B80, B34, B9, B64, B97, B76, B40, B19, B7, B51, B20, B53, B4, B82, B43, B89, B69, B38, B84, B65, B90, B14, B49, B54, B58, B96, B86, B78, B30, B83, B36, B98, B28, B10, 
R75:, B39, B35, B3, B30, B4, B50, B45, B37, B99, B89, B53, B83, B15, B81, B7, B2, B25, B11, B97, B44, B80, B33, B68, B52, B5, B34, B56, B90, B17, B60, B87, B23, B40, B12, B59, B13, B71, B70, B67, B61, B75, B69, B24, B55, B63, B19, B65, B29, B98, B76, B41, B66, B91, B54, B43, B92, B21, B73, B28, B47, B58, B51, B85, B49, B64, B86, B1, B95, B6, B94, B77, B62, B48, B38, B10, B9, B36, B16, B57, B8, B46, B22, B79, B26, B82, B96, B74, B88, B93, B18, B72, B20, B84, B31, B0, B14, B42, B27, B32, B78, 
